,comment
74,"Вот это обращение, которое действительно приятно смотреть!"
75,"Здравствуйте, Екатерина Михайловна. Будете ли вы записывать обращение в этом году? Нам очень надо. Можете ли вы выложить его заранее? Теперь мы с друзьями живём в разных часовых поясах, но хотим слушать вас под куранты."
76,"Даже со снежинками  Уважаемая Екатерина Михайловна, с Новым годом вас.Будте счастливы и здоровы .Мы вас очень любим ."
77,Настоящее обращение умного талантливого неравнодушного человека к своим же гражданам! С новым годом!!!
78,"Новогодняя речь, которую мы заслужили!"
79,"С Новым годом, Екатерина Михайловна!!! Прекрасная, необыкновенная, обожаемая, спасибо Вам, берегите себя!"
80,Наконец-то Екатерина Михайловна на своем месте 
81,"Эх,    кто бы мог подумать..  Нет Войне!!!"
82,Комментарий в поддержку канала уважаемой Екатерины Михайловны! Спасибо за поздравление!
83,"Всех НАС с 22!!! Прорвёмся, выживем, удивим ! И наступающим 23!!!"
84,Как тонко и остроумно! Спасибо. Речь великолепно отражает современность! Очень талантливо!
85,"С Новым Годом, Екатерина Михайловна!!!! Спасибо Вам за то, что Вы у нас есть!!! Счастливого 2022 года!!!!"
86,"Екатерина Михайловна, спасибо Вам!!!! Благодаря Вам легче понять то, что происходит, в благодаря Вашему чувству юмора и переносить это легче.  С Новым годом Вас и Вашу замечательную семью! Будьте с нами в 22году и всегда!!!!"
87,"Спасибо, Екатерина Михайловна, за Вашу просветительскую деятельность! Какое счастье, что Вы есть!))"
88,"Просто ""бальзам на душу"" или ""живая вода""!"
89,Такое бы реальное поздравление в этом году...
90,"Желаю в новом году, чтобы родители по телевизору вот такие вот обращения смотрели!"
91,"Спасибо Екатерине Михайловне за просветительскую работу! Для меня всегда большое удовольствие слушать вас, успехов в новом году."
92,"Спасибо Вам, дорогая и любимая Екатерина Михайловна за то, что Вы делаете - обучаете и даёте надежду! Настоящая Екатерина Великая!"
93,"Большое вам спасибо, Екатерина Михайловна. И за слова, и за посыл и за все, что вы делаете!"
94,"Спасибо, Екатерина Михайловна!!! В Новом году ждем новых выступлений!!! Здоровья, счастья, мира!!!"
95,Спасибо за вашу работу. С праздником вас. Вы -луч света в темном царстве.
96,"Смотрела в 23:56, чтобы ровненько было) Не хватило в конце более продолжительных курантов, а в остальном спасибо огромное! Очень очень люблю!! Всевозможных благ вам, Екатерина Михайловна!"
97,"Живу за границей. У нас традиция: поднять бокал по московскому времени, под куранты. Жаль, что не сделали это под вашу речь. Что называется:  I wish I were :) Я программист. Ваша речь была как идеальная программа :) Краткая, но емкая, и такая понятная. Спасибо и с Новым годом."
98,Всем здоровья и терпения! Все будет хорошо!!!!
99,"Нету поздравленья лучше, чем Екатерины Шульман!!!!"
100,"С Новым годом, Екатерина Михайловна! Всех Вам благ!"
101,"Екатерина Михайловна, спасибо вам за труд и за все, что вы делаете, вместе мы сила, с Новым годом!! "
102,"С Новым годом, уважаемая Екатерина Михайловна! Спасибо за Вашу деятельность, всего наилучшего!"
103,Всех добрых людей с наступившим новым годом! Здоровья и благополучия!
104,"Хочу, чтобы это поздравление вся страна смотрела по федеральным каналам!"
105,"Екатерина Михайловна, спасибо Вам за активную просветительскую работу в этом году и за объединение гражданского общества! С огромным уважением к Вам! Здоровья Вам и семье!!! С наступающим 2022!"
106,"Приятно слышать и слушать!Спасибо от чистого сердца,все просто и искренне ."
107,"Екатерина Михайловна. Надеюсь увидеть Ваше новогоднее поздравление с экранов наших телевизоров. Можно даже в ""пальте"""
108,"Новогоднее обращение здорового человека. Спасибо, Екатерина Михайловна."
109,"Спасибо большое, Екатрина Михайловна! По Перми ваше обращение вышло за 5 минут до Нового года, поэтому смотрели вас вместо сами знаете кого. Вы вдохновили и привнесли бодрость духа в момент, ""когда куранты бьют""! И вообще, для меня весь этот год прошел в вашей теплой виртуальной компании, и я вам безмерно благодарна за знания и за заразательную perseverance!"
110,"Вы молодец, умница. Вам здоровья, счастья и исполнения всех ваших заветных желаний. И вашей семье тоже. Я и моя семья, а нас больше 20 человек, солидарны с вами  во всем"
111,"Выпью за то, чтобы в ближайшем будущем, Екатерина Михайловна поздравляла нас с Новым годом по телевизору."
112,"Спасибо огромное за то, что Вы у нас есть!"
113,"Поздравление, которое мы заслужили"
114,Новогоднее обращение здорового человека
115,"Потрясающе. Благодарю, Екатерина Михайловна. Я от своих дел и целей не отступлю."
